,tconst,primaryTitle
204,tt0308055,Bobby
205,tt0422720,Marie Antoinette
206,tt0455590,The Last King of Scotland
207,tt0402399,The New World
208,tt2024544,12 Years a Slave
209,tt0375920,The Libertine
210,tt1504320,The King's Speech
211,tt0433383,"Good Night, and Good Luck."
212,tt0349825,Miracle
213,tt0395169,Hotel Rwanda
214,tt0363163,Downfall
215,tt0112573,Braveheart
216,tt0108052,Schindler's List
217,tt0116250,Evita
218,tt0119485,Kundun
219,tt0127536,Elizabeth
220,tt0118607,Amistad
221,tt0113987,Nixon
222,tt0110932,Quiz Show
223,tt0108358,Tombstone
224,tt0104797,Malcolm X
225,tt0097499,Henry V
226,tt0097441,Glory
227,tt0093389,The Last Emperor
228,tt0087553,The Killing Fields
229,tt0074896,The Message
230,tt0063227,The Lion in Winter
231,tt0060665,A Man for All Seasons
232,tt0060107,Andrei Rublev
233,tt0056937,Cleopatra
234,tt0053946,Inherit the Wind
235,tt0019254,The Passion of Joan of Arc
236,tt0056197,The Longest Day
237,tt0066473,Tora! Tora! Tora!
238,tt0265086,Black Hawk Down
239,tt0213149,Pearl Harbor
240,tt0187393,The Patriot
241,tt0277434,We Were Soldiers
242,tt0408306,Munich
243,tt5013056,Dunkirk
244,tt0473444,Curse of the Golden Flower
245,tt0475276,United 93
246,tt0454824,Flyboys
247,tt0449994,Jodhaa Akbar
248,tt8291224,Uri: The Surgical Strike
249,tt4387040,Airlift
250,tt1020558,Centurion
251,tt1233301,Ironclad
252,tt1783232,Conquest 1453
253,tt3735246,Bajirao Mastani
254,tt4172430,13 Hours
255,tt1860357,Deepwater Horizon
256,tt0485985,Red Tails
257,tt3922798,The Siege of Jadotville
258,tt5461944,Hotel Mumbai
259,tt1034303,Defiance
260,tt3231054,Risen
261,tt4244994,The Last Duel
262,tt2493486,Last Knights
263,tt6048922,Greyhound
264,tt2025690,The Finest Hours
265,tt3833480,The Outpost
266,tt9637132,Samrat Prithviraj
267,tt6924650,Midway
268,tt1413492,12 Strong
269,tt7825208,Marighella
270,tt7985648,The Legend of Tomiris
271,tt0357507,Boogeyman
272,tt0498381,Rings
273,tt2039338,Flatliners
274,tt10962368,Things Heard & Seen
275,tt0425430,The Messengers
276,tt1594562,The Innkeepers
277,tt10065694,Antebellum
278,tt10003008,The Rental
279,tt0375210,White Noise
280,tt10954652,Old
281,tt5294518,Eli
282,tt7740510,Antlers
283,tt0382628,Dark Water
284,tt8361028,Cam
285,tt9072352,Relic
286,tt0492044,The Haunting in Connecticut
287,tt7347846,The Lodge
288,tt3118452,Circle
289,tt7752126,Brightburn
290,tt0384286,Cry Wolf
291,tt6566576,Fear Street: Part One - 1994
292,tt1161864,The Rite
293,tt4695012,It Comes at Night
294,tt4361050,Ouija: Origin of Evil
295,tt6195094,Incident in a Ghostland
296,tt7153766,Unsane
297,tt1441395,Under the Skin
298,tt2554274,Crimson Peak
299,tt9701940,Fear Street: Part Two - 1978
300,tt7557108,Saint Maud
301,tt1687901,The Awakening
302,tt5774450,Summer of 84
303,tt2400463,The Invitation
304,tt5109784,Mother!
305,tt1772264,Stonehearst Asylum
306,tt9639470,Last Night in Soho
307,tt5715874,The Killing of a Sacred Deer
308,tt1051906,The Invisible Man
309,tt8772262,Midsommar
310,tt7784604,Hereditary
311,tt1179933,10 Cloverfield Lane
312,tt5215952,The Wailing
313,tt7668870,Searching
314,tt1772250,The Hidden Face
315,tt3461252,The Blue Elephant
316,tt0397101,The Skeleton Key
317,tt0265349,The Mothman Prophecies
318,tt0464141,The Orphanage
319,tt0261983,Session 9
320,tt0308379,Dark Water
321,tt0161081,What Lies Beneath
322,tt0365376,A Tale of Two Sisters
323,tt0235198,Audition
324,tt0138704,Pi
325,tt0123755,Cube
326,tt0099528,The Exorcist III
327,tt0105665,Twin Peaks: Fire Walk with Me
328,tt0099871,Jacob's Ladder
329,tt0069995,Don't Look Now
330,tt0056869,The Birds
331,tt7431594,Race 3
332,tt10888594,Radhe
333,tt5433138,F9: The Fast Saga
334,tt2717822,Blackhat
335,tt0814022,Bangkok Dangerous
336,tt1656186,Stolen
337,tt3247714,Survivor
338,tt1430612,Brick Mansions
339,tt2002718,Machete Kills
340,tt1160368,12 Rounds
341,tt2679042,Hitman: Agent 47
342,tt1308729,Bullet to the Head
343,tt0913354,Armored
344,tt1112782,The Code
345,tt0408345,Firewall
346,tt1684233,Welcome to the Punch
347,tt1206885,Rambo: Last Blood
348,tt0443473,The Condemned
349,tt2446042,Taken 3
350,tt1297919,Blitz
351,tt9531772,Sooryavanshi
352,tt1129442,Transporter 3
353,tt0443632,The Sentinel
354,tt1712261,Triple 9
355,tt1904996,Parker
356,tt1121931,Crank: High Voltage
357,tt0499556,War
358,tt2369135,Need for Speed
359,tt1448755,Killer Elite
360,tt1397280,Taken 2
361,tt2312718,Homefront
362,tt1179034,From Paris with Love
363,tt0458481,Sin City: A Dame to Kill For
364,tt0465494,Hitman
365,tt1656190,Safe
366,tt1547234,Premium Rush
367,tt2199571,Run All Night
368,tt0472399,The Mechanic
