primaryTitle,movieId,T_Const,startYear,averageRating,numVotes,Family,Biography,Musical,Reality-TV,Music,War,Action,Mystery,Sport,Drama,Short,Talk-Show,Game-Show,Fantasy,Documentary,Thriller,Adventure,Comedy,Romance,History,Film-Noir,Adult,Animation,News,Horror,Western,Sci-Fi,Crime
Casablanca,34,0034583,-0.5501376346641322,0.2168628382912094,0.12517869133878526,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kate & Leopold,36,0035423,0.06444569866920109,-0.09196069112055523,-0.05833710231483204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Arsenic and Old Lace,39,0036613,-0.5397209679974656,0.1286275441735624,-0.063637422552874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
Double Indemnity,41,0036775,-0.5293043013307989,0.18745107358532714,-0.03105317309237429,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
The Big Sleep,44,0038355,-0.5084709679974656,0.1286275441735624,-0.057964492288714906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
It's a Wonderful Life,45,0038650,-0.5084709679974656,0.23156872064415052,0.08110397499486237,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notorious,46,0038787,-0.5084709679974656,0.1286275441735624,-0.052102961672527336,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Miracle on 34th Street,47,0039628,-0.4980543013307989,0.1286275441735624,-0.07240446974848622,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bicycle Thieves,48,0040522,-0.48763763466413224,0.18745107358532714,-0.02865148341684723,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Treasure of the Sierra Madre,50,0040897,-0.48763763466413224,0.17274519123238577,-0.04314922690736155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Third Man,52,0041959,-0.47722096799746555,0.15803930887944465,-0.025392484636054778,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
All About Eve,58,0042192,-0.4668043013307989,0.17274519123238577,-0.04070736879986088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinderella,60,0042332,-0.4668043013307989,0.04039225005591526,-0.029883697887199676,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Father of the Bride,62,0042451,-0.4668043013307989,0.010980485350032885,-0.08622088012142907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Harvey,65,0042546,-0.4668043013307989,0.1286275441735624,-0.069341339893127,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rashomon,69,0042876,-0.4668043013307989,0.17274519123238577,-0.02680144020709112,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunset Blvd.,70,0043014,-0.4668043013307989,0.20215695593826827,-0.006672465110371275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The African Queen,73,0043265,-0.45638763466413224,0.09921577946768001,-0.060588829844324274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Alice in Wonderland,76,0043274,-0.45638763466413224,0.05509813240885651,-0.036849669104414104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
An American in Paris,79,0043278,-0.45638763466413224,0.02568636770297414,-0.07767724591888912,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Day the Earth Stood Still,81,0043456,-0.45638763466413224,0.11392166182062113,-0.059400226814400325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Strangers on a Train,86,0044079,-0.45638763466413224,0.1286275441735624,-0.039661459342567,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
A Streetcar Named Desire,88,0044081,-0.45638763466413224,0.1286275441735624,-0.04943922079793433,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Noon,95,0044706,-0.44597096799746555,0.14333342652650352,-0.05089982149579388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Singin' in the Rain,100,0045152,-0.44597096799746555,0.18745107358532714,0.0010023832920536735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
From Here to Eternity,101,0045793,-0.4355543013307989,0.08450989711473876,-0.07264395011434795,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peter Pan,104,0046183,-0.4355543013307989,0.04039225005591526,-0.03760789607747792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
